Date,Tick,Close,Polarity,News
2017-04-28,Q,84.28,0.0,0
2017-04-29,Q,84.3833333333,0.0,0
2017-04-30,Q,84.4866666667,0.0,0
2017-05-01,Q,84.59,0.0,0
2017-05-02,Q,85.34,0.0,1
2017-05-03,Q,82.64,1.33333222222,1
2017-05-04,Q,82.2,0.0,1
2017-05-05,Q,83.3,-0.999999000001,1
2017-05-06,Q,83.4133333333,0.0,0
2017-05-07,Q,83.5266666667,0.0,0
2017-05-08,Q,83.64,0.999999000001,1
2017-05-09,Q,84.27,0.0,0
2017-05-10,Q,83.8,0.0,0
2017-05-11,Q,83.46,0.0,0
2017-05-12,Q,82.89,0.999999000001,1
2017-05-13,Q,83.1333333333,0.0,0
2017-05-14,Q,83.3766666667,0.0,0
2017-05-15,Q,83.62,-0.9999995,1
2017-05-16,Q,83.19,0.0,0
2017-05-17,Q,82.22,0.0,0
2017-05-18,Q,83.09,0.0,0
2017-05-19,Q,83.05,0.0,0
2017-05-20,Q,83.2133333333,0.0,0
2017-05-21,Q,83.3766666667,0.0,0
2017-05-22,Q,83.54,0.0,0
2017-05-23,Q,83.8,0.0,0
2017-05-24,Q,84.22,0.0,1
2017-05-25,Q,84.7,0.0,0
2017-05-26,Q,86.02,0.0,0
2017-05-27,Q,85.89,0.0,0
2017-05-28,Q,85.76,0.0,0
2017-05-29,Q,85.63,0.0,0
2017-05-30,Q,85.5,0.9999995,1
2017-05-31,Q,86.44,0.0,0
2017-06-01,Q,87.13,0.999999000001,1
2017-06-02,Q,87.93,1.9999985,1
2017-06-03,Q,87.7166666667,0.9999995,1
2017-06-04,Q,87.5033333333,0.0,0
2017-06-05,Q,87.29,0.333333222222,1
2017-06-06,Q,87.09,0.0,1
2017-06-07,Q,87.57,0.0,1
2017-06-08,Q,87.8,0.0,1
2017-06-09,Q,86.15,0.0,0
2017-06-10,Q,85.9633333333,0.0,0
2017-06-11,Q,85.7766666667,0.0,0
2017-06-12,Q,85.59,-0.999999000001,1
2017-06-13,Q,86.73,0.0,0
2017-06-14,Q,86.35,0.0,0
2017-06-15,Q,86.63,0.0,0
2017-06-16,Q,87.13,0.0,1
2017-06-17,Q,87.3766666667,0.0,0
2017-06-18,Q,87.6233333333,0.0,0
2017-06-19,Q,87.87,0.0,1
2017-06-20,Q,88.39,0.0,0
2017-06-21,Q,89.78,-0.999999000001,1
2017-06-22,Q,90.88,-0.9999995,1
2017-06-23,Q,91.08,0.0,0
2017-06-24,Q,90.78,0.0,0
2017-06-25,Q,90.48,0.0,0
2017-06-26,Q,90.18,0.333333222222,1
2017-06-27,Q,89.47,-0.999999000001,1
2017-06-28,Q,90.59,0.0,0
2017-06-29,Q,89.42,0.0,0
2017-06-30,Q,89.5,0.0,0
2017-07-01,Q,89.0766666667,0.0,0
2017-07-02,Q,88.6533333333,0.0,0
2017-07-03,Q,88.23,0.0,0
2017-07-04,Q,88.695,0.0,0
2017-07-05,Q,89.16,0.0,0
2017-07-06,Q,87.86,0.0,0
2017-07-07,Q,88.85,0.0,0
2017-07-08,Q,88.6566666667,0.0,0
2017-07-09,Q,88.4633333333,0.0,0
2017-07-10,Q,88.27,0.0,0
2017-07-11,Q,88.12,0.0,0
2017-07-12,Q,88.91,0.0,1
2017-07-13,Q,89.22,0.0,0
2017-07-14,Q,89.38,0.0,0
2017-07-15,Q,89.6133333333,0.0,0
2017-07-16,Q,89.8466666667,0.9999995,1
2017-07-17,Q,90.08,0.0,0
2017-07-18,Q,90.07,0.0,1
